FID,MC,CODE11,CODE01,STATE,DISTRICT,SUBDIST,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
0,9.12853204306E+017,2853204306000000,2801000200000000,Andhra Pradesh,Adilabad,Adilabad,78.46800815,19.53407091,78.83157437,19.74557056
1,9.12853204319E+017,2853204319000000,2801001500000000,Andhra Pradesh,Adilabad,Asifabad,79.12502205,19.2330136,79.41606542,19.43926017
2,9.12853204323E+017,2853204323000000,2801001900000000,Andhra Pradesh,Adilabad,Bazarhathnoor,78.2842320203,19.38488583,78.49855732,19.5655535901
3,9.12853204317E+017,2853204317000000,2801001300000000,Andhra Pradesh,Adilabad,Bejjur,79.732495,19.20453972,79.98013983,19.49982595
4,9.12853204308E+017,2853204308000000,2801000400000000,Andhra Pradesh,Adilabad,Bela,78.69787581,19.59455134,78.86989022,19.78124987
5,9.1285320435E+017,2853204350000000,2801004600000000,Andhra Pradesh,Adilabad,Bellampalle,79.45080398,18.99053682,79.60989135,19.15191897
6,9.12853204339E+017,2853204339000000,2801003500000000,Andhra Pradesh,Adilabad,Bhainsa,77.8921724,19.04260675,78.10894783,19.22173786
7,9.12853204328E+017,2853204328000000,2801002400000000,Andhra Pradesh,Adilabad,Bhimini,79.53226488,19.09139348,79.76470234,19.28647918
8,9.12853204324E+017,2853204324000000,2801002000000000,Andhra Pradesh,Adilabad,Boath,78.1846033802,19.2504098,78.43751097,19.4554530598
9,9.12853204356E+017,2853204356000000,2801005200000000,Andhra Pradesh,Adilabad,Chennur,79.67933237,18.6930522497,79.8536620165,18.96612096
10,9.12853204329E+017,2853204329000000,2801002500000000,Andhra Pradesh,Adilabad,Dahegaon,79.57701673,19.15490466,79.95037797,19.34198072
11,9.12853204348E+017,2853204348000000,2801004400000000,Andhra Pradesh,Adilabad,Dandepalle,79.0782375372,18.8889378602,79.26342315,19.1534113122
12,9.12853204343E+017,2853204343000000,2801003900000000,Andhra Pradesh,Adilabad,Dilawarpur,78.15563512,18.9769414349,78.32982978,19.16843144
